"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-18","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"32",",,W","18",",,W",,,"  310",",,W","  320",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-19","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"41",",,W","24",",,W",,,"  250",",,W","  260",",,W","13.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-20","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"52",",,W","38",",,W",,,"  290",",,W","  250",",,W","19.9",",,W","29.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-21","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"50",",,W","42",",,W",,,"  280",",,W","  270",",,W","8.9",",,W","14.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-22","5.37",",,W",,,"0.01",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"49",",,W","38",",,W",,,"   60",",,W","   50",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-23","6.26",",,W",,,"0.30",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"60",",,W","38",",,W",,,"  280",",,W","  290",",,W","21.9",",,W","38.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-24","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"44",",,W","27",",,W",,,"  290",",,W","  280",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-25","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"34",",,W","23",",,W",,,"  310",",,W","  320",",,W","15.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-26","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"38",",,W","26",",,W",,,"  170",",,W","  180",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-01-27","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"56",",,W","35",",,W",,,"  250",",,W","  240",",,W","15.0",",,W","25.9",",,W",,,,,,,,,,,,
